,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
3,Miami Heat*,66,243.0,34.6,79.8,.434,7.3,20.0,.363,27.4,59.8,.457,16.0,22.1,.725,11.0,28.7,39.8,19.7,8.3,4.2,16.8,20.5,92.5,2012
4,Memphis Grizzlies*,66,241.5,34.5,77.8,.444,6.3,18.3,.345,28.2,59.4,.474,17.6,23.1,.764,11.0,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93.0,2012
5,Atlanta Hawks*,66,244.9,36.1,81.3,.444,5.9,17.2,.344,30.1,64.1,.470,15.1,20.1,.753,10.8,31.5,42.3,20.5,7.5,4.7,15.1,19.1,93.2,2012
6,Orlando Magic*,66,241.9,35.9,80.1,.449,6.3,18.1,.347,29.7,62.0,.478,15.2,19.7,.772,10.1,31.2,41.3,20.5,7.5,4.1,13.1,19.8,93.4,2012
7,New Orleans Hornets,66,241.5,34.9,78.6,.444,6.4,20.3,.317,28.5,58.3,.489,17.1,22.5,.759,11.1,28.9,40.0,20.9,7.9,5.8,13.9,18.7,93.4,2012
8,Toronto Raptors,66,241.9,33.8,77.7,.435,6.1,18.5,.328,27.8,59.2,.469,20.2,27.2,.744,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94.0,2012
9,Indiana Pacers*,66,242.3,34.9,80.4,.435,6.7,19.1,.351,28.2,61.3,.461,17.9,24.5,.729,12.0,30.3,42.3,19.6,6.6,6.0,14.9,21.6,94.4,2012
10,New York Knicks*,66,241.5,35.1,79.4,.442,6.7,18.8,.359,28.4,60.6,.468,17.7,24.1,.736,10.9,31.0,41.8,18.9,8.1,5.1,17.0,21.8,94.7,2012
11,Dallas Mavericks*,66,243.4,35.6,81.7,.435,7.2,20.7,.346,28.4,60.9,.466,16.5,22.1,.750,11.0,32.9,43.9,20.5,8.5,4.0,14.7,18.4,94.8,2012
12,Los Angeles Clippers*,66,241.9,34.5,77.2,.447,7.0,19.1,.365,27.6,58.1,.474,19.0,25.4,.746,10.8,29.0,39.8,20.7,6.0,4.5,14.6,21.2,95.0,2012
13,Detroit Pistons,66,241.9,36.0,78.0,.462,6.0,16.9,.355,30.0,61.1,.492,17.6,23.0,.765,10.7,30.1,40.7,22.5,8.5,5.3,14.5,19.4,95.7,2012
14,Los Angeles Lakers*,66,243.4,37.8,86.4,.437,6.7,19.3,.348,31.0,67.1,.463,13.7,18.4,.742,11.5,29.5,41.0,21.9,8.4,4.6,11.3,20.2,95.9,2012
15,,,,,,,,,,,,,,,,,,,,,,,,,2012
16,San Antonio Spurs*,66,241.5,38.1,84.2,.452,6.2,17.7,.353,31.8,66.6,.478,14.1,18.7,.756,10.3,30.9,41.2,19.6,7.4,5.0,13.7,18.8,96.5,2012
17,Oklahoma City Thunder*,66,242.3,36.4,85.3,.427,6.4,18.7,.342,30.1,66.6,.451,17.7,23.0,.768,12.7,28.6,41.3,19.9,8.2,4.9,14.2,20.0,96.9,2012
18,Portland Trail Blazers,66,241.9,37.5,81.0,.463,6.7,18.4,.363,30.8,62.6,.492,16.1,21.5,.747,11.1,31.2,42.3,21.1,7.6,4.8,14.9,19.8,97.8,2012
19,Houston Rockets,66,243.4,37.5,82.2,.456,5.6,17.2,.325,31.9,65.0,.491,17.3,22.6,.766,11.0,30.7,41.8,20.0,7.5,5.2,14.7,18.4,97.9,2012
20,Washington Wizards,66,240.4,36.7,81.1,.453,6.5,18.4,.350,30.2,62.7,.483,18.6,24.5,.758,12.3,31.2,43.5,21.5,7.9,4.5,15.2,18.7,98.4,2012
21,Phoenix Suns,66,240.0,38.0,83.5,.455,6.0,17.1,.352,31.9,66.3,.481,16.7,21.9,.762,12.2,31.3,43.4,21.5,8.0,4.4,14.1,19.6,98.6,2012
22,Milwaukee Bucks,66,240.4,37.1,82.6,.449,6.6,18.9,.351,30.5,63.7,.478,17.9,23.3,.769,12.3,32.4,44.7,21.7,7.6,4.5,15.9,19.4,98.7,2012
23,Utah Jazz*,66,244.9,36.4,80.5,.453,6.5,19.1,.340,29.9,61.4,.488,19.7,26.2,.754,11.0,30.1,41.2,20.5,7.5,5.7,14.7,20.7,99.0,2012
24,New Jersey Nets,66,240.8,37.9,80.2,.472,6.5,17.4,.374,31.4,62.8,.500,16.8,22.6,.740,11.8,30.8,42.6,23.3,8.0,5.0,14.3,19.3,99.1,2012
25,Minnesota Timberwolves,66,241.5,39.0,85.7,.455,6.2,18.1,.340,32.8,67.6,.486,16.0,21.2,.755,11.7,31.8,43.4,21.5,8.3,5.7,13.3,21.7,100.1,2012
26,Cleveland Cavaliers,66,241.9,38.4,82.3,.467,6.8,18.7,.362,31.6,63.6,.498,16.6,22.2,.748,11.4,31.4,42.8,23.1,7.9,6.2,13.9,20.9,100.2,2012
27,Charlotte Bobcats,66,240.8,38.9,82.0,.475,6.2,17.3,.356,32.8,64.7,.506,16.9,22.5,.750,11.8,33.2,45.0,23.3,7.6,5.7,13.5,20.3,100.9,2012
28,Golden State Warriors,66,241.1,37.3,82.3,.453,7.1,19.4,.365,30.2,62.9,.480,19.5,26.1,.747,13.2,32.7,45.8,23.1,7.6,5.0,14.8,16.6,101.2,2012
29,Denver Nuggets*,66,243.0,38.5,84.4,.456,8.7,22.6,.383,29.8,61.8,.483,15.6,20.5,.759,11.1,29.2,40.3,23.2,7.9,6.7,15.6,22.0,101.2,2012
30,Sacramento Kings,66,241.1,40.4,85.0,.476,6.7,18.7,.355,33.8,66.3,.510,16.9,22.2,.762,12.3,32.6,45.0,23.8,7.8,6.4,15.4,19.9,104.4,2012
0,Memphis Grizzlies*,82,241.5,33.5,77.0,.435,6.1,18.2,.338,27.4,58.8,.465,16.1,21.5,.748,10.3,28.8,39.1,19.5,7.3,5.5,15.5,20.0,89.3,2013
1,Indiana Pacers*,81,241.9,34.5,82.2,.420,5.4,16.6,.327,29.1,65.6,.444,16.2,21.3,.760,11.2,29.6,40.9,19.2,7.5,5.7,13.5,21.9,90.7,2013
2,Chicago Bulls*,82,241.8,35.4,80.1,.443,5.5,16.0,.346,29.9,64.1,.467,16.5,22.3,.739,11.0,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9,2013
3,Los Angeles Clippers*,82,240.6,34.6,78.0,.443,7.6,20.5,.373,26.9,57.5,.468,17.9,23.9,.749,10.9,28.2,39.1,22.1,7.4,4.1,16.1,20.9,94.6,2013
4,Miami Heat*,82,242.4,35.6,80.9,.440,7.6,21.7,.350,28.0,59.1,.473,16.2,21.2,.766,11.2,28.9,40.1,20.2,7.9,3.2,15.6,20.4,95.0,2013
5,Brooklyn Nets*,82,242.1,37.4,80.7,.464,6.3,17.3,.366,31.1,63.4,.490,14.0,19.2,.731,10.7,28.5,39.2,21.4,7.5,4.8,13.4,21.4,95.1,2013
6,Boston Celtics*,81,244.9,36.1,82.0,.441,6.8,19.9,.342,29.3,62.1,.472,17.7,23.9,.740,11.4,32.1,43.6,21.6,7.8,4.7,15.3,19.4,96.7,2013
7,New York Knicks*,82,240.6,35.6,77.6,.458,7.8,21.8,.357,27.8,55.8,.498,16.8,22.2,.757,10.0,31.6,41.6,19.3,6.4,4.0,15.1,19.2,95.7,2013
8,Washington Wizards,82,242.1,35.9,81.7,.440,7.1,20.5,.349,28.8,61.2,.470,16.8,22.8,.738,11.0,33.2,44.2,21.5,7.8,4.4,14.5,19.1,95.8,2013
9,Philadelphia 76ers,82,240.9,36.8,81.0,.454,6.7,19.2,.349,30.1,61.8,.487,16.2,21.4,.760,11.0,33.0,44.0,22.8,7.2,4.8,14.3,16.2,96.5,2013
10,Oklahoma City Thunder*,82,241.8,36.2,85.0,.425,7.4,21.5,.346,28.7,63.5,.452,16.7,21.6,.774,12.0,28.7,40.7,20.5,8.2,3.9,14.8,20.7,96.5,2013
11,San Antonio Spurs*,82,242.4,37.5,84.9,.442,6.3,17.9,.353,31.2,66.9,.466,15.2,20.0,.760,11.1,31.4,42.5,21.4,8.2,4.9,14.9,19.1,96.6,2013
12,Atlanta Hawks*,82,242.1,37.5,83.2,.450,7.6,19.9,.379,29.9,63.3,.473,15.0,19.7,.763,11.3,32.4,43.7,22.3,8.4,4.3,15.2,18.8,97.5,2013
13,New Orleans Hornets,82,241.2,37.0,78.5,.471,7.7,20.6,.374,29.2,57.9,.505,16.3,21.5,.759,10.2,29.2,39.3,23.4,7.9,6.0,13.2,18.7,97.9,2013
14,Minnesota Timberwolves,82,240.6,38.0,81.2,.468,7.0,19.0,.369,30.9,62.2,.498,15.2,20.1,.752,10.6,31.5,42.1,22.3,8.1,5.9,15.9,22.5,98.1,2013
15,Utah Jazz,82,242.4,36.6,79.9,.458,6.8,18.5,.370,29.8,61.4,.485,18.0,23.8,.757,11.0,29.8,40.8,20.6,7.8,5.9,14.7,20.4,98.1,2013
16,Toronto Raptors,82,243.7,36.2,79.2,.458,6.7,18.4,.361,29.6,60.8,.487,19.6,26.2,.747,10.7,31.0,41.7,21.9,7.0,4.7,14.3,20.1,98.7,2013
17,Detroit Pistons,82,241.5,37.3,81.2,.459,7.4,20.4,.360,29.9,60.7,.492,16.9,22.2,.762,11.1,30.7,41.8,22.4,8.4,5.8,13.7,19.9,98.8,2013
18,Golden State Warriors*,82,241.5,37.2,84.8,.439,8.0,23.1,.347,29.2,61.7,.473,17.9,23.9,.748,11.1,31.7,42.7,23.5,8.2,4.9,13.5,19.2,100.3,2013
19,Milwaukee Bucks*,82,241.8,38.4,84.7,.454,6.5,18.5,.348,32.0,66.2,.483,17.0,22.5,.759,12.4,33.6,46.0,23.1,8.0,4.4,16.0,19.1,100.4,2013
20,Portland Trail Blazers,82,242.1,39.3,83.0,.474,6.4,18.7,.340,33.0,64.3,.512,15.7,20.6,.761,11.0,31.4,42.4,23.7,8.4,4.4,13.1,18.7,100.7,2013
21,Los Angeles Lakers*,82,240.9,39.7,87.6,.453,7.5,21.0,.357,32.2,66.6,.483,14.2,19.4,.732,11.5,31.1,42.7,23.4,8.5,4.8,12.9,23.1,101.0,2013
22,Denver Nuggets*,82,242.7,38.1,85.7,.444,8.4,23.1,.363,29.7,62.6,.474,16.6,22.7,.731,12.4,29.2,41.6,23.6,8.0,6.8,15.9,21.6,101.1,2013
23,Orlando Magic,82,241.2,38.6,83.4,.463,7.5,21.0,.359,31.1,62.5,.498,16.3,22.1,.738,10.8,31.9,42.8,23.7,7.2,5.2,12.4,16.5,101.1,2013
24,Cleveland Cavaliers,82,240.6,37.9,79.6,.476,7.4,20.0,.372,30.5,59.6,.511,17.9,24.2,.739,10.8,31.3,42.1,23.9,7.6,6.8,15.2,19.7,101.2,2013
25,Phoenix Suns,82,241.5,38.8,82.6,.470,6.9,17.9,.388,31.9,64.7,.492,17.1,22.6,.757,11.7,31.7,43.4,22.8,8.3,5.1,15.3,18.4,101.6,2013
26,Dallas Mavericks,82,243.7,37.4,84.0,.445,7.8,21.8,.359,29.6,62.2,.475,19.1,25.4,.753,12.0,33.6,45.6,22.0,8.5,4.1,14.7,18.9,101.7,2013
27,Houston Rockets*,82,241.2,38.8,85.5,.454,8.1,21.9,.368,30.8,63.5,.484,16.8,21.6,.776,10.7,31.0,41.6,22.7,8.5,6.1,14.8,20.4,102.5,2013
28,Charlotte Bobcats,82,241.5,38.8,82.5,.471,8.7,22.5,.388,30.1,59.9,.502,16.2,21.8,.747,11.8,32.3,44.1,25.3,6.9,6.9,14.0,21.3,102.7,2013
29,Sacramento Kings,82,241.8,39.3,83.3,.472,7.6,21.5,.355,31.7,61.8,.512,18.9,24.1,.783,11.9,31.7,43.6,25.1,7.6,6.3,14.7,20.0,105.1,2013
0,Chicago Bulls*,82,243.0,35.0,81.2,.430,6.6,18.7,.351,28.4,62.5,.454,15.3,20.3,.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8,2014
1,Indiana Pacers*,82,241.2,34.8,82.7,.420,6.6,19.0,.345,28.2,63.7,.443,16.3,21.6,.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3,2014
2,Memphis Grizzlies*,82,241.5,35.7,79.3,.450,7.5,21.1,.355,28.2,58.2,.484,15.8,20.6,.766,9.9,29.3,39.2,19.9,7.2,5.0,14.2,18.9,94.6,2014
3,Charlotte Bobcats*,82,242.7,36.9,83.4,.442,8.1,22.0,.369,28.7,61.4,.468,15.3,20.1,.759,9.6,33.7,43.3,21.0,6.3,5.1,13.3,20.9,97.1,2014
4,Miami Heat*,82,242.4,36.1,79.0,.457,8.5,23.4,.362,27.6,55.6,.497,16.8,22.3,.750,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4,2014
5,San Antonio Spurs*,82,240.9,37.8,85.1,.444,6.5,18.3,.353,31.3,66.8,.469,15.7,20.6,.760,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6,2014
6,Toronto Raptors*,82,243.4,36.1,80.2,.450,6.9,19.2,.360,29.1,60.9,.478,19.0,25.3,.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0,2014
7,New York Knicks,82,242.1,35.8,78.1,.458,8.7,23.4,.371,27.1,54.6,.496,19.1,25.0,.765,10.3,31.7,42.0,19.7,6.3,3.4,14.5,19.6,99.4,2014
8,Washington Wizards*,82,244.6,37.0,80.9,.458,7.5,21.5,.347,29.6,59.4,.498,17.8,23.3,.765,10.1,32.1,42.2,22.2,7.7,3.9,16.0,19.5,99.4,2014
9,Golden State Warriors*,82,241.8,36.8,84.4,.436,6.9,20.2,.344,29.9,64.2,.465,18.9,24.7,.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5,2014
10,Brooklyn Nets*,82,242.4,36.3,79.4,.458,8.1,22.0,.367,28.3,57.4,.492,18.8,24.7,.760,11.2,31.6,42.9,21.0,7.4,4.1,15.8,20.8,99.5,2014
11,Oklahoma City Thunder*,82,241.5,36.4,83.4,.436,8.6,24.0,.358,27.8,59.4,.468,18.4,25.4,.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8,2014
12,Boston Celtics,82,240.6,37.8,81.4,.465,6.6,18.9,.347,31.2,62.5,.500,18.5,24.3,.761,10.6,31.7,42.3,22.1,7.4,4.5,14.2,19.1,100.7,2014
13,Los Angeles Clippers*,82,240.9,37.4,84.9,.441,7.3,21.8,.332,30.2,63.0,.479,18.9,25.0,.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0,2014
14,Atlanta Hawks*,82,241.8,38.6,83.5,.462,8.0,21.9,.365,30.6,61.6,.497,16.4,21.9,.748,10.8,32.8,43.5,23.2,8.2,4.3,15.2,20.0,101.5,2014
15,,,,,,,,,,,,,,,,,,,,,,,,,2014
16,Cleveland Cavaliers,82,243.0,37.8,83.5,.452,9.3,25.4,.367,28.4,58.1,.490,16.6,22.0,.757,10.3,32.3,42.5,24.8,7.2,5.6,14.0,19.5,101.5,2014
17,Orlando Magic,82,243.4,38.1,83.7,.456,8.0,21.7,.371,30.1,62.0,.485,17.7,22.9,.770,10.5,33.5,44.0,22.5,7.1,5.4,14.0,18.3,102.0,2014
18,Utah Jazz,82,241.2,38.3,81.0,.473,7.3,19.4,.376,31.0,61.6,.503,18.3,23.7,.773,10.3,32.2,42.5,21.8,7.5,4.9,12.6,20.4,102.2,2014
19,New Orleans Pelicans,82,242.1,37.3,80.1,.465,8.0,22.3,.357,29.3,57.8,.507,20.0,26.5,.752,10.7,31.0,41.7,22.5,7.0,6.1,14.5,20.3,102.4,2014
20,Dallas Mavericks*,82,241.8,37.8,81.4,.464,8.3,23.0,.359,29.5,58.4,.505,18.7,24.6,.758,11.5,31.3,42.8,22.0,7.7,3.5,16.0,19.9,102.4,2014
21,Phoenix Suns,82,240.9,38.0,83.4,.456,6.8,19.9,.341,31.2,63.5,.492,19.8,25.8,.766,11.3,31.5,42.8,20.3,7.5,4.0,15.3,21.3,102.6,2014
22,Portland Trail Blazers*,82,242.1,39.6,87.8,.451,6.5,18.3,.355,33.1,69.5,.476,17.0,22.2,.766,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8,2014
23,Houston Rockets*,82,241.8,39.0,88.0,.443,8.1,23.0,.353,30.9,65.0,.475,17.0,22.5,.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1,2014
24,Sacramento Kings,82,241.8,37.8,82.1,.461,8.5,22.4,.380,29.4,59.8,.491,19.2,26.1,.737,9.9,31.3,41.2,23.5,7.8,5.6,13.6,23.1,103.4,2014
25,Milwaukee Bucks,82,242.4,38.4,82.0,.468,8.5,22.3,.382,29.9,59.7,.500,18.4,24.5,.751,11.7,31.8,43.5,22.8,7.8,5.0,14.1,20.6,103.7,2014
26,Minnesota Timberwolves,82,242.1,40.5,86.0,.471,8.1,22.2,.364,32.4,63.8,.508,15.2,20.1,.756,11.1,33.1,44.2,22.9,7.9,5.6,16.4,23.6,104.3,2014
27,Detroit Pistons,82,241.2,39.1,83.2,.470,8.3,22.8,.365,30.8,60.3,.510,18.1,24.0,.756,11.1,31.9,43.0,24.4,8.2,4.9,15.0,20.7,104.7,2014
28,Denver Nuggets,82,240.9,39.5,86.4,.457,7.4,21.0,.351,32.1,65.4,.491,20.2,26.4,.763,11.3,32.5,43.8,22.5,8.5,5.6,14.4,21.7,106.5,2014
29,Los Angeles Lakers,82,240.3,42.0,89.6,.468,8.1,22.5,.361,33.8,67.2,.504,17.2,23.7,.727,13.0,36.0,49.0,25.8,9.6,4.7,14.2,19.3,109.2,2014
30,Philadelphia 76ers,82,242.1,40.0,85.1,.471,9.0,24.4,.370,31.0,60.7,.511,20.8,27.6,.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9,2014
0,Utah Jazz,82,240.3,35.8,80.3,.446,7.4,20.4,.362,28.4,60.0,.474,16.0,21.5,.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9,2015
1,Memphis Grizzlies*,82,242.7,36.0,81.5,.442,8.1,23.0,.351,27.9,58.5,.478,14.9,20.1,.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1,2015
2,San Antonio Spurs*,82,243.4,37.1,83.7,.444,6.8,18.9,.360,30.3,64.8,.468,15.9,21.4,.745,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97.0,2015
3,Indiana Pacers,82,242.1,36.0,82.7,.435,7.2,20.9,.345,28.8,61.8,.465,17.9,23.8,.753,9.8,33.0,42.7,19.9,7.5,4.7,12.7,21.4,97.0,2015
4,Atlanta Hawks*,82,240.6,36.5,83.1,.439,8.8,25.8,.341,27.7,57.4,.483,15.4,20.1,.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1,2015
5,Miami Heat,82,240.6,36.1,79.5,.454,8.1,23.0,.353,28.0,56.5,.495,17.0,23.2,.730,10.9,30.1,41.0,21.3,7.9,4.4,14.8,20.9,97.3,2015
6,Charlotte Hornets,82,242.7,36.8,83.7,.440,7.9,22.1,.357,28.9,61.5,.470,15.8,20.4,.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3,2015
7,Milwaukee Bucks*,82,243.0,35.6,81.5,.437,8.2,24.1,.342,27.3,57.4,.476,18.0,24.3,.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4,2015
8,Chicago Bulls*,82,242.4,37.7,86.7,.435,6.6,19.6,.335,31.2,67.1,.465,15.7,21.0,.749,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8,2015
9,Washington Wizards*,82,243.4,36.2,83.5,.433,8.0,23.0,.349,28.1,60.5,.465,17.5,23.7,.738,10.0,31.7,41.7,19.9,8.0,4.3,14.0,19.6,97.8,2015
10,New Orleans Pelicans*,82,241.2,37.9,83.1,.456,6.5,19.6,.335,31.4,63.5,.494,16.2,21.4,.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6,2015
11,Portland Trail Blazers*,82,242.1,38.2,86.9,.439,6.4,18.9,.338,31.8,67.9,.468,15.8,20.9,.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6,2015
12,Cleveland Cavaliers*,82,241.2,38.1,83.5,.456,7.7,22.5,.343,30.3,61.0,.497,14.8,19.9,.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7,2015
13,Detroit Pistons,82,241.8,37.9,83.1,.456,7.7,21.8,.355,30.1,61.3,.491,16.0,20.7,.772,10.7,33.4,44.1,23.8,7.0,4.8,14.0,19.3,99.5,2015
14,Golden State Warriors*,82,240.6,37.0,86.4,.428,7.2,21.4,.337,29.7,65.0,.458,18.7,24.5,.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9,2015
15,,,,,,,,,,,,,,,,,,,,,,,,,2015
16,Los Angeles Clippers*,82,240.6,36.4,82.3,.442,8.3,23.9,.349,28.1,58.4,.481,19.0,25.7,.741,10.6,32.3,42.9,23.2,6.7,3.0,14.3,21.5,100.1,2015
17,Houston Rockets*,82,241.5,37.7,85.2,.443,7.4,22.9,.322,30.3,62.2,.487,17.7,23.6,.751,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5,2015
18,Brooklyn Nets*,82,243.0,38.4,84.3,.456,8.5,23.7,.358,29.9,60.6,.494,15.6,21.3,.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20.0,100.9,2015
19,Toronto Raptors*,82,242.1,38.0,82.8,.459,7.7,22.3,.346,30.3,60.5,.501,17.2,23.5,.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9,2015
20,Philadelphia 76ers,82,241.5,37.1,82.7,.449,8.0,22.9,.350,29.1,59.8,.487,18.7,24.7,.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101.0,2015
21,Boston Celtics*,82,242.4,38.1,84.7,.450,7.4,22.0,.336,30.7,62.7,.490,17.6,23.3,.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2,2015
22,New York Knicks,82,242.1,37.0,80.4,.460,8.5,22.3,.380,28.5,58.1,.490,18.8,24.8,.759,11.0,32.5,43.5,21.7,8.0,4.3,14.1,19.1,101.2,2015
23,Orlando Magic,82,240.9,38.0,82.0,.463,8.3,22.6,.368,29.6,59.4,.499,17.2,22.9,.751,10.1,33.4,43.5,23.4,7.7,5.4,14.5,17.9,101.4,2015
24,Oklahoma City Thunder,82,241.8,37.6,85.5,.440,8.3,24.2,.343,29.3,61.3,.479,18.2,24.5,.745,11.2,31.5,42.7,22.1,7.8,4.6,13.6,20.4,101.8,2015
25,Dallas Mavericks*,82,242.4,38.0,84.5,.450,9.0,24.8,.364,29.0,59.7,.485,17.3,22.9,.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3,2015
26,Phoenix Suns,82,242.4,38.4,85.0,.452,7.7,21.9,.352,30.7,63.1,.486,18.8,24.8,.759,11.6,33.7,45.3,21.1,7.9,4.1,15.6,20.3,103.3,2015
27,Denver Nuggets,82,242.4,38.6,84.3,.458,7.7,22.2,.346,30.9,62.0,.498,20.1,26.9,.748,11.0,34.1,45.1,23.1,7.5,6.1,14.4,20.7,105.0,2015
28,Sacramento Kings,82,242.1,39.5,86.5,.456,8.8,25.1,.349,30.7,61.5,.500,17.3,23.1,.748,11.0,30.2,41.2,23.3,8.7,6.2,12.9,23.9,105.0,2015
29,Los Angeles Lakers,82,243.0,38.8,83.1,.466,8.5,23.4,.363,30.3,59.7,.507,19.2,25.8,.745,10.0,34.1,44.2,24.0,7.5,4.8,13.0,19.4,105.3,2015
30,Minnesota Timberwolves,82,241.5,41.1,84.5,.487,8.5,23.1,.367,32.6,61.4,.531,15.8,20.8,.759,11.6,31.9,43.6,23.6,8.4,5.5,15.2,21.4,106.5,2015
0,San Antonio Spurs*,82,240.3,35.7,81.8,.436,6.6,19.9,.331,29.1,61.9,.470,14.9,19.6,.758,9.1,31.4,40.5,20.8,7.2,3.9,14.8,19.5,92.9,2016
1,Utah Jazz,82,243.4,35.6,79.9,.446,7.9,22.2,.357,27.7,57.7,.480,16.8,22.5,.746,9.3,30.8,40.1,19.1,8.0,4.7,14.0,19.9,95.9,2016
2,Toronto Raptors*,82,241.2,36.5,82.1,.444,8.7,23.4,.373,27.7,58.7,.473,16.5,22.1,.748,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22.0,98.2,2016
3,Cleveland Cavaliers*,82,242.1,36.8,82.1,.448,7.9,22.7,.347,28.9,59.4,.487,16.8,22.6,.743,9.3,31.8,41.0,21.4,7.2,4.4,13.3,20.6,98.3,2016
4,Miami Heat*,82,241.8,37.2,84.3,.442,7.4,21.2,.347,29.9,63.1,.474,16.5,21.5,.770,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4,2016
5,Atlanta Hawks*,82,241.8,37.1,86.1,.432,8.3,24.5,.338,28.9,61.6,.469,16.7,22.1,.755,11.5,35.0,46.5,22.0,8.6,5.0,16.1,18.3,99.2,2016
6,Los Angeles Clippers*,82,241.8,36.8,84.7,.434,7.9,23.3,.338,28.9,61.4,.471,18.8,25.1,.751,11.8,34.9,46.7,21.2,7.1,3.2,15.4,22.5,100.2,2016
7,Indiana Pacers*,82,242.4,37.4,84.9,.440,8.3,24.8,.334,29.1,60.1,.484,17.4,23.2,.751,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5,2016
8,Charlotte Hornets*,82,242.1,37.8,85.0,.444,8.9,25.4,.349,28.9,59.6,.485,16.3,21.2,.769,8.9,35.8,44.7,23.2,6.7,5.5,13.5,20.4,100.7,2016
9,New York Knicks,82,241.5,38.0,85.8,.443,7.6,22.4,.341,30.3,63.4,.479,17.5,23.2,.754,10.9,33.3,44.2,20.8,7.2,4.2,11.3,18.5,101.1,2016
10,Memphis Grizzlies*,82,241.8,35.9,78.8,.456,9.7,26.6,.365,26.2,52.1,.503,19.7,25.7,.768,10.1,33.1,43.2,21.9,7.0,5.7,16.2,21.1,101.3,2016
11,Detroit Pistons*,82,242.4,38.8,84.2,.461,7.3,20.5,.355,31.5,63.7,.495,16.5,21.0,.783,8.8,33.7,42.5,21.5,7.1,4.5,13.4,21.6,101.4,2016
12,Boston Celtics*,82,241.2,37.5,85.0,.441,7.8,23.3,.336,29.7,61.7,.481,19.7,26.0,.755,11.4,34.6,46.0,20.9,7.6,5.5,16.4,21.0,102.5,2016
13,Dallas Mavericks*,82,244.0,38.3,85.0,.451,9.1,26.5,.342,29.3,58.5,.500,16.9,22.8,.738,10.6,35.2,45.8,22.0,7.5,4.4,13.9,21.4,102.6,2016
14,Oklahoma City Thunder*,82,241.8,38.4,87.7,.438,8.1,23.8,.342,30.3,63.9,.474,18.0,23.8,.756,11.3,28.9,40.2,21.5,8.8,4.5,13.0,20.2,102.9,2016
15,,,,,,,,,,,,,,,,,,,,,,,,,2016
16,Chicago Bulls,82,242.7,39.4,89.4,.441,7.9,23.0,.345,31.5,66.4,.474,16.3,22.1,.737,11.8,34.1,45.9,22.5,8.0,5.7,11.9,18.7,103.1,2016
17,Milwaukee Bucks,82,241.8,37.8,83.1,.454,9.3,26.5,.352,28.4,56.7,.502,18.4,23.9,.768,11.5,31.5,43.0,24.5,8.3,5.6,15.5,19.5,103.2,2016
18,Orlando Magic,82,242.7,38.4,83.5,.460,8.9,24.9,.359,29.5,58.6,.503,17.9,24.0,.746,10.1,34.1,44.3,23.2,7.6,5.5,15.1,18.3,103.7,2016
19,Golden State Warriors*,82,242.4,38.9,89.4,.435,7.8,23.5,.332,31.1,65.9,.472,18.6,24.5,.757,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1,2016
