,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
18,Los Angeles Clippers,82,241.5,38.0,81.3,.467,5.9,17.0,.349,32.0,64.4,.498,19.2,25.6,.751,11.2,32.4,43.6,22.4,7.2,4.7,13.6,21.6,101.1,2008
19,Los Angeles Lakers*,82,241.2,38.1,85.6,.445,6.8,18.7,.362,31.4,67.0,.469,18.3,24.3,.752,12.0,30.7,42.8,21.9,7.7,4.5,14.2,22.6,101.3,2008
20,Charlotte Bobcats,82,242.4,38.0,81.5,.466,6.3,17.8,.355,31.7,63.8,.497,19.2,25.6,.747,12.2,31.6,43.7,21.8,7.6,5.8,14.4,21.0,101.4,2008
21,Minnesota Timberwolves,82,240.6,37.3,79.0,.472,6.6,18.5,.357,30.7,60.5,.507,21.2,27.6,.769,10.6,31.0,41.7,23.2,7.4,5.7,13.5,17.5,102.4,2008
22,New York Knicks,82,242.4,38.8,81.8,.474,7.2,19.4,.369,31.7,62.4,.507,18.7,25.3,.739,11.3,31.4,42.6,21.6,7.6,5.2,12.8,20.3,103.5,2008
23,Milwaukee Bucks,82,242.1,38.4,80.0,.480,7.2,18.7,.384,31.2,61.4,.509,20.0,26.1,.766,10.6,30.0,40.7,23.3,7.9,4.9,13.7,21.1,103.9,2008
24,Sacramento Kings,82,241.8,38.3,82.1,.466,7.3,19.5,.373,31.0,62.6,.495,21.0,27.9,.753,11.8,30.1,41.9,22.9,8.1,5.5,15.2,23.1,104.8,2008
25,Phoenix Suns*,82,241.2,41.1,90.0,.456,5.7,16.2,.353,35.4,73.8,.479,17.2,22.9,.749,13.4,30.5,43.9,19.6,7.3,3.8,13.4,21.1,105.0,2008
26,Indiana Pacers,82,240.9,37.7,83.1,.454,7.4,19.2,.386,30.3,64.0,.474,22.6,29.8,.757,11.3,34.1,45.5,22.2,8.1,5.1,15.8,21.7,105.4,2008
27,Seattle SuperSonics,82,241.8,40.1,87.0,.461,7.4,19.2,.385,32.7,67.8,.482,18.7,25.0,.749,11.7,32.4,44.1,24.4,8.6,5.4,13.2,19.6,106.3,2008
28,Memphis Grizzlies,82,241.5,41.4,86.3,.480,7.2,19.8,.364,34.2,66.5,.514,16.9,21.8,.774,11.4,33.2,44.5,23.9,8.7,4.9,13.4,22.5,106.9,2008
29,Denver Nuggets*,82,242.1,40.7,89.1,.457,7.6,20.9,.363,33.1,68.2,.485,18.1,24.7,.730,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,107.0,2008
30,Golden State Warriors,82,241.2,39.9,85.3,.468,7.0,19.0,.368,32.9,66.4,.496,22.0,29.0,.759,12.8,34.2,47.0,23.6,6.9,5.0,16.9,21.2,108.8,2008
0,Cleveland Cavaliers*,82,241.2,33.8,78.6,.431,5.9,17.6,.333,28.0,60.9,.459,17.8,23.1,.770,10.7,28.2,38.9,19.1,6.3,4.1,13.9,20.3,91.4,2009
1,San Antonio Spurs*,82,242.7,36.3,80.1,.453,5.5,14.4,.379,30.8,65.7,.469,15.3,19.9,.769,9.1,31.3,40.4,18.1,6.5,4.3,11.7,18.4,93.3,2009
2,Boston Celtics*,82,242.4,33.7,78.3,.431,6.2,17.7,.349,27.5,60.6,.454,19.8,25.7,.771,10.2,27.4,37.6,18.9,7.1,4.7,14.6,22.2,93.4,2009
3,Portland Trail Blazers*,82,241.8,35.4,76.9,.460,5.9,15.9,.374,29.4,61.0,.482,17.4,21.7,.803,9.6,26.7,36.3,19.4,6.3,3.9,13.2,21.1,94.1,2009
4,New Orleans Hornets*,82,240.9,34.8,77.2,.450,7.0,19.8,.354,27.8,57.4,.484,17.7,22.9,.773,10.0,30.0,40.0,20.1,5.8,3.5,13.3,20.4,94.3,2009
5,Orlando Magic*,82,240.6,35.8,82.7,.433,5.4,15.8,.342,30.4,66.9,.454,17.3,23.0,.755,10.5,31.6,42.1,18.1,6.9,3.8,13.1,22.4,94.4,2009
