,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
17,New York Knicks,1-2,2-2,3-1,3-0,1-3,2-0,1-1,3-1,2-0,2-0,2-2,1-1,0-2,1-3,4-0,1-1,3-1,,3-1,3-1,1-1,2-0,1-1,1-1,2-0,1-3,0-2,2-0,2-2,2000,50,32,.610,2.0,92.1,90.7,1.30,2000,New York Knicks,1,,,,,,,,
18,Orlando Magic,3-0,2-2,2-2,4-0,1-2,1-1,2-0,2-2,1-1,2-0,1-2,2-0,0-2,1-3,0-4,1-1,2-3,1-3,,2-2,0-2,0-2,0-2,1-1,1-1,2-2,1-1,2-0,4-0,2000,41,41,.500,11.0,100.1,99.4,0.43,2000,Orlando Magic,0,,,,,,,,
19,Philadelphia 76ers,4-0,3-1,1-3,4-0,4-0,2-0,0-2,2-2,2-0,1-1,2-2,1-1,0-2,1-3,3-0,1-1,3-1,1-3,2-2,,0-2,0-2,1-1,0-2,2-0,3-0,1-1,2-0,3-1,2000,49,33,.598,3.0,94.8,93.4,1.02,2000,Philadelphia 76ers,1,,,,,,,,
20,Phoenix Suns,2-0,1-1,1-1,2-0,2-0,1-3,3-1,2-0,4-0,2-2,1-1,4-0,0-4,1-1,1-1,3-1,2-0,1-1,2-0,2-0,,1-3,4-0,2-2,2-2,1-1,0-4,4-0,2-0,2000,53,29,.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns,1,,,,,,,,
21,Portland Trail Blazers,2-0,2-0,2-0,2-0,1-1,2-2,2-2,1-1,4-0,2-2,0-2,4-0,2-2,1-1,2-0,2-2,1-1,0-2,2-0,2-0,3-1,,4-0,3-1,4-0,1-1,3-1,3-1,2-0,2000,59,23,.720,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers,1,,,,,,,,
22,Sacramento Kings,0-2,1-1,2-0,2-0,2-0,3-1,2-2,2-0,3-1,3-1,1-1,3-1,1-3,0-2,1-1,1-3,1-1,1-1,2-0,1-1,0-4,0-4,,3-1,2-2,1-1,1-3,3-1,2-0,2000,44,38,.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings,1,,,,,,,,
23,San Antonio Spurs,2-0,2-0,2-0,2-0,1-1,2-2,3-1,1-1,4-0,4-0,1-1,4-0,3-1,1-1,0-2,1-3,2-0,1-1,1-1,2-0,2-2,1-3,1-3,,2-2,1-1,2-2,4-0,1-1,2000,53,29,.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs,1,,,,,,,,
24,Seattle SuperSonics,1-1,1-1,1-1,1-1,2-0,3-1,3-1,0-2,4-0,3-1,1-1,3-1,1-3,1-1,1-1,2-2,2-0,0-2,1-1,0-2,2-2,0-4,2-2,2-2,,0-2,2-2,4-0,2-0,2000,45,37,.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics,1,,,,,,,,
25,Toronto Raptors,2-2,2-2,1-3,4-0,4-0,1-1,0-2,2-2,2-0,2-0,1-3,2-0,1-1,2-1,2-2,0-2,2-2,3-1,2-2,0-3,1-1,1-1,1-1,1-1,2-0,,1-1,1-1,2-2,2000,45,37,.549,11.0,97.2,97.3,-0.46,2000,Toronto Raptors,1,,,,,,,,
26,Utah Jazz,2-0,1-1,2-0,2-0,2-0,3-1,2-2,2-0,4-0,3-1,0-2,4-0,1-3,1-1,1-1,1-3,2-0,2-0,1-1,1-1,4-0,1-3,3-1,2-2,2-2,1-1,,3-1,2-0,2000,55,27,.671,—,96.5,92.0,4.52,2000,Utah Jazz,1,,,,,,,,
27,Vancouver Grizzlies,1-1,1-1,0-2,2-0,0-2,1-3,2-2,0-2,1-3,2-2,0-2,3-1,0-4,1-1,1-1,0-4,2-0,0-2,0-2,0-2,0-4,1-3,1-3,0-4,0-4,1-1,1-3,,1-1,2000,22,60,.268,33.0,93.9,99.5,-5.10,2000,Vancouver Grizzlies,0,,,,,,,,
28,Washington Wizards,3-1,1-3,0-3,2-2,1-3,1-1,1-1,2-2,1-1,1-1,1-2,1-1,1-1,0-4,1-3,2-0,3-1,2-2,0-4,1-3,0-2,0-2,0-2,1-1,0-2,2-2,0-2,1-1,,2000,29,53,.354,23.0,96.6,99.9,-3.47,2000,Washington Wizards,0,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Atlantic Division,0,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Central Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Midwest Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Pacific Division,0,,,,,,,,
0,Atlanta Hawks,,1-3,0-4,2-2,2-2,0-2,1-1,0-4,2-0,0-2,2-2,1-1,1-1,0-3,1-3,0-2,1-3,2-2,1-3,0-3,0-2,1-1,1-1,0-2,1-1,2-2,0-2,1-1,2-2,2001,25,57,.305,27.0,91.0,96.2,-5.55,2001,Atlanta Hawks,0,,,,,,,,
1,Boston Celtics,3-1,,0-4,2-1,2-1,0-2,2-0,3-1,0-2,1-1,1-3,2-0,0-2,2-2,1-3,1-1,4-0,1-3,1-3,0-4,2-0,1-1,0-2,0-2,2-0,1-3,1-1,0-2,3-1,2001,36,46,.439,20.0,94.6,96.8,-2.40,2001,Boston Celtics,0,,,,,,,,
2,Charlotte Hornets,4-0,4-0,,3-1,2-2,0-2,0-2,2-2,2-0,0-2,3-1,2-0,0-2,2-2,3-1,1-1,4-0,1-2,2-1,2-2,0-2,0-2,1-1,1-1,0-2,3-1,1-1,1-1,2-2,2001,46,36,.561,6.0,91.9,89.8,1.45,2001,Charlotte Hornets,1,,,,,,,,
3,Chicago Bulls,2-2,1-2,1-3,,1-3,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,1-3,0-4,0-2,2-2,1-3,1-3,1-3,0-2,0-2,0-2,1-1,0-2,0-4,0-2,1-1,2-1,2001,15,67,.183,37.0,87.6,96.7,-9.09,2001,Chicago Bulls,0,,,,,,,,
4,Cleveland Cavaliers,2-2,1-2,2-2,3-1,,1-1,1-1,2-2,2-0,0-2,1-3,0-2,0-2,2-2,1-3,0-2,3-0,2-2,1-3,0-4,0-2,1-1,1-1,0-2,0-2,0-4,1-1,1-1,2-2,2001,30,52,.366,22.0,92.2,96.5,-4.48,2001,Cleveland Cavaliers,0,,,,,,,,
5,Dallas Mavericks,2-0,2-0,2-0,2-0,1-1,,3-1,1-1,4-0,2-2,1-1,4-0,0-4,2-0,1-1,3-1,2-0,1-1,1-1,1-1,1-3,2-2,2-2,1-3,3-1,2-0,2-2,3-1,2-0,2001,53,29,.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks,1,,,,,,,,
6,Denver Nuggets,1-1,0-2,2-0,2-0,1-1,1-3,,1-1,4-0,3-1,1-1,2-2,2-2,0-2,1-1,2-2,1-1,1-1,0-2,1-1,0-4,2-2,2-2,2-2,2-2,0-2,1-3,4-0,1-1,2001,40,42,.488,18.0,96.6,99.0,-1.83,2001,Denver Nuggets,0,,,,,,,,
7,Detroit Pistons,4-0,1-3,2-2,4-0,2-2,1-1,1-1,,1-1,0-2,1-3,0-2,0-2,0-4,1-3,0-2,4-0,1-2,2-2,0-4,1-1,0-2,0-2,0-2,2-0,2-2,0-2,1-1,1-2,2001,32,50,.390,20.0,95.6,97.3,-2.08,2001,Detroit Pistons,0,,,,,,,,
8,Golden State Warriors,0-2,2-0,0-2,2-0,0-2,0-4,0-4,1-1,,1-3,2-0,1-3,1-3,0-2,0-2,2-2,1-1,0-2,0-2,0-2,2-2,0-4,0-4,0-4,0-4,0-2,1-3,1-3,0-2,2001,17,65,.207,39.0,92.5,101.5,-8.11,2001,Golden State Warriors,0,,,,,,,,
9,Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-2,1-3,2-0,3-1,,2-0,1-3,1-3,1-1,2-0,2-2,1-1,2-0,1-1,1-1,1-3,1-3,0-4,1-3,2-2,2-0,1-3,4-0,2-0,2001,45,37,.549,13.0,97.2,94.9,2.71,2001,Houston Rockets,0,,,,,,,,
10,Indiana Pacers,2-2,3-1,1-3,4-0,3-1,1-1,1-1,3-1,0-2,0-2,,2-0,1-1,1-2,2-2,1-1,2-2,2-2,2-2,0-3,1-1,0-2,2-0,0-2,1-1,0-4,0-2,2-0,4-0,2001,41,41,.500,11.0,92.6,92.8,-0.77,2001,Indiana Pacers,1,,,,,,,,
