,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
14,Miami Heat,1-3,1-3,0-3,3-1,1-3,1-1,2-0,1-2,2-0,2-0,2-2,0-2,1-1,,3-1,0-2,1-3,2-2,3-1,1-3,1-1,1-1,0-2,1-1,2-0,1-3,0-2,,2-2,2002,36,46,.439,16.0,87.2,88.7,-1.84,2002,Miami Heat,0,1-1,,,,,,,
15,Milwaukee Bucks,3-1,3-1,2-2,2-2,1-3,0-2,2-0,2-2,2-0,1-1,3-1,1-1,0-2,1-3,,0-2,1-2,1-3,2-1,1-3,0-2,0-2,0-2,2-0,0-2,4-0,2-0,,3-1,2002,41,41,.500,9.0,97.5,97.7,-0.62,2002,Milwaukee Bucks,0,2-0,,,,,,,
16,Minnesota Timberwolves,2-0,1-1,2-0,2-0,0-2,2-2,2-2,1-1,3-1,2-2,1-1,2-2,2-2,2-0,2-0,,1-1,2-0,1-1,1-1,2-2,2-2,1-3,2-2,2-2,1-1,3-1,,2-0,2002,50,32,.610,8.0,99.3,96.0,3.58,2002,Minnesota Timberwolves,1,4-0,,,,,,,
17,New Jersey Nets,1-2,1-3,3-1,4-0,3-1,0-2,1-1,1-3,1-1,2-0,3-1,2-0,1-1,3-1,2-1,1-1,,4-0,3-1,2-2,1-1,1-1,1-1,2-0,1-1,2-2,1-1,,3-1,2002,52,30,.634,—,96.2,92.0,3.67,2002,New Jersey Nets,1,2-0,,,,,,,
18,New York Knicks,3-1,0-4,2-2,1-3,2-2,1-1,0-2,1-3,1-1,1-1,1-2,0-2,0-2,2-2,3-1,0-2,0-4,,0-4,1-3,1-1,1-1,1-1,0-2,2-0,3-0,1-1,,1-3,2002,30,52,.366,22.0,91.6,95.6,-4.15,2002,New York Knicks,0,1-1,,,,,,,
19,Orlando Magic,3-1,1-3,1-3,3-0,3-1,1-1,2-0,2-2,2-0,2-0,1-3,1-1,0-2,1-3,1-2,1-1,1-3,4-0,,3-1,2-0,0-2,1-1,0-2,0-2,3-1,1-1,,2-2,2002,44,38,.537,8.0,100.5,98.9,1.25,2002,Orlando Magic,1,2-0,,,,,,,
20,Philadelphia 76ers,3-1,3-1,3-1,2-1,3-0,1-1,1-1,1-2,1-1,1-1,1-3,2-0,1-1,3-1,3-1,1-1,2-2,3-1,1-3,,2-0,0-2,0-2,1-1,1-1,1-3,0-2,,2-3,2002,43,39,.524,9.0,91.0,89.4,1.27,2002,Philadelphia 76ers,1,0-2,,,,,,,
21,Phoenix Suns,1-1,1-1,0-2,1-1,1-1,1-3,1-3,1-1,4-0,2-2,1-1,1-3,2-2,1-1,2-0,2-2,1-1,1-1,0-2,0-2,,2-2,1-3,1-3,2-2,1-1,2-2,,0-2,2002,36,46,.439,25.0,95.1,95.8,-0.30,2002,Phoenix Suns,0,3-1,,,,,,,
22,Portland Trail Blazers,1-1,1-1,1-1,2-0,2-0,2-2,2-2,2-0,2-2,3-1,1-1,3-1,2-2,1-1,2-0,2-2,1-1,1-1,2-0,2-0,2-2,,2-2,1-3,3-1,1-1,1-3,,2-0,2002,49,33,.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers,1,2-2,,,,,,,
23,Sacramento Kings,2-0,2-0,2-0,2-0,2-0,1-3,4-0,2-0,4-0,4-0,0-2,3-1,1-3,2-0,2-0,3-1,1-1,1-1,1-1,2-0,3-1,2-2,,3-1,2-2,2-0,4-0,,1-1,2002,61,21,.744,—,104.6,97.0,7.61,2002,Sacramento Kings,1,3-1,,,,,,,
24,San Antonio Spurs,2-0,2-0,1-1,2-0,1-1,3-1,4-0,2-0,4-0,4-0,1-1,3-1,1-3,1-1,0-2,2-2,0-2,2-0,2-0,1-1,3-1,3-1,1-3,,2-2,1-1,4-0,,2-0,2002,58,24,.707,—,96.7,90.5,6.28,2002,San Antonio Spurs,1,4-0,,,,,,,
25,Seattle SuperSonics,2-0,1-1,1-1,1-1,2-0,1-3,1-3,1-1,4-0,2-2,2-0,3-1,1-3,0-2,2-0,2-2,1-1,0-2,2-0,1-1,2-2,1-3,2-2,2-2,,2-0,1-3,,1-1,2002,45,37,.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics,1,4-0,,,,,,,
26,Toronto Raptors,4-0,2-2,2-2,4-0,3-1,1-1,1-1,1-3,2-0,1-1,3-1,1-1,1-1,3-1,0-4,1-1,2-2,0-3,1-3,3-1,1-1,1-1,0-2,1-1,0-2,,1-1,,1-2,2002,42,40,.512,8.0,91.4,91.8,-0.71,2002,Toronto Raptors,1,1-1,,,,,,,
27,Utah Jazz,1-1,1-1,1-1,2-0,2-0,1-3,3-1,1-1,4-0,2-2,1-1,4-0,1-3,2-0,0-2,1-3,1-1,1-1,1-1,2-0,2-2,3-1,0-4,0-4,3-1,1-1,,,2-0,2002,44,38,.537,14.0,96.0,95.1,1.21,2002,Utah Jazz,1,1-3,,,,,,,
28,Washington Wizards,3-0,1-3,1-3,3-1,2-1,1-1,2-0,0-4,1-1,1-1,1-3,1-1,0-2,2-2,1-3,0-2,1-3,3-1,2-2,3-2,2-0,0-2,1-1,0-2,1-1,2-1,0-2,,,2002,37,45,.451,15.0,92.8,94.2,-1.58,2002,Washington Wizards,0,2-0,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Atlantic Division,0,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Central Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Midwest Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Pacific Division,0,,,,,,,,
0,Atlanta Hawks,,0-3,,2-2,4-0,0-2,2-0,1-3,0-2,1-1,2-2,2-0,1-1,1-3,2-2,0-2,1-3,1-3,2-1,3-1,0-2,0-2,1-1,1-1,1-1,1-3,1-1,,2-2,2003,35,47,.427,15.0,94.1,97.6,-3.87,2003,Atlanta Hawks,0,1-1,2-2,,,,,,
1,Boston Celtics,3-0,,,2-2,4-0,0-2,1-1,2-2,1-1,0-2,2-2,2-0,1-1,2-2,1-2,2-0,1-3,4-0,3-2,2-2,0-2,1-1,0-2,0-2,2-0,1-2,1-1,,1-3,2003,44,38,.537,5.0,92.7,93.1,-0.75,2003,Boston Celtics,1,2-0,3-1,,,,,,
2,Chicago Bulls,2-2,2-2,,,3-1,0-2,1-1,0-4,1-1,1-1,2-2,0-2,1-1,1-2,2-2,0-2,2-2,2-1,1-3,1-3,1-1,1-1,0-2,0-2,0-2,2-2,1-1,,1-3,2003,30,52,.366,20.0,95.0,100.1,-5.31,2003,Chicago Bulls,0,1-1,1-3,,,,,,
3,Cleveland Cavaliers,0-4,0-4,,1-3,,0-2,1-1,0-4,1-1,1-1,0-4,2-0,1-1,1-2,0-4,0-2,2-2,1-2,0-4,0-4,0-2,0-2,0-2,0-2,1-1,3-1,1-1,,0-4,2003,17,65,.207,33.0,91.4,101.0,-9.59,2003,Cleveland Cavaliers,0,0-2,1-3,,,,,,
4,Dallas Mavericks,2-0,2-0,,2-0,2-0,,4-0,2-0,4-0,4-0,1-1,4-0,1-3,2-0,0-2,2-2,2-0,2-0,1-1,2-0,2-2,2-2,1-3,2-2,2-2,2-0,2-2,,2-0,2003,60,22,.732,—,103.0,95.2,7.90,2003,Dallas Mavericks,1,4-0,2-0,,,,,,
5,Denver Nuggets,0-2,1-1,,1-1,1-1,0-4,,0-2,0-4,0-4,1-1,1-3,0-4,2-0,1-1,0-4,0-2,0-2,0-2,0-2,1-3,2-2,0-4,1-3,1-3,1-1,0-4,,1-1,2003,17,65,.207,43.0,84.2,92.4,-7.41,2003,Denver Nuggets,0,2-2,0-2,,,,,,
6,Detroit Pistons,3-1,2-2,,4-0,4-0,0-2,2-0,,1-1,2-0,2-2,1-1,1-1,3-1,1-3,1-1,2-1,2-2,2-1,2-2,1-1,0-2,1-1,0-2,1-1,3-1,2-0,,3-1,2003,50,32,.610,—,91.4,87.7,2.97,2003,Detroit Pistons,1,2-0,2-2,,,,,,
7,Golden State Warriors,2-0,1-1,,1-1,1-1,0-4,4-0,1-1,,1-3,1-1,2-2,2-2,1-1,0-2,1-3,1-1,2-0,1-1,2-0,2-2,0-4,0-4,1-3,2-2,2-0,2-2,,2-0,2003,38,44,.463,21.0,102.4,103.6,-0.60,2003,Golden State Warriors,0,2-2,1-1,,,,,,
8,Houston Rockets,1-1,2-0,,1-1,1-1,0-4,4-0,0-2,3-1,,1-1,2-2,2-2,1-1,1-1,2-2,1-1,0-2,2-0,2-0,3-1,1-3,2-2,1-3,2-2,2-0,1-3,,1-1,2003,43,39,.524,17.0,93.8,92.3,1.89,2003,Houston Rockets,0,3-1,1-1,,,,,,
9,Indiana Pacers,2-2,2-2,,2-2,4-0,1-1,1-1,2-2,1-1,1-1,,2-0,0-2,4-0,3-1,2-0,1-2,3-1,2-1,2-2,1-1,0-2,0-2,0-2,2-0,3-1,1-1,,2-2,2003,48,34,.585,2.0,96.8,93.3,2.79,2003,Indiana Pacers,1,1-1,3-1,,,,,,
10,Los Angeles Clippers,0-2,0-2,,2-0,0-2,0-4,3-1,1-1,2-2,2-2,0-2,,0-4,2-0,1-1,1-3,1-1,1-1,1-1,0-2,1-3,1-3,1-3,1-3,1-3,1-1,1-3,,0-2,2003,27,55,.329,32.0,93.8,97.9,-3.45,2003,Los Angeles Clippers,0,2-2,1-1,,,,,,
11,Los Angeles Lakers,1-1,1-1,,1-1,1-1,3-1,4-0,1-1,2-2,2-2,2-0,4-0,,1-1,2-0,2-2,0-2,1-1,1-1,1-1,3-1,2-2,2-2,0-4,2-2,2-0,3-1,,1-1,2003,50,32,.610,9.0,100.4,98.0,2.71,2003,Los Angeles Lakers,1,4-0,1-1,,,,,,
12,Memphis Grizzlies,1-1,0-2,,1-1,2-0,0-4,2-2,0-2,2-2,1-3,1-1,2-2,0-4,2-0,2-0,0-4,1-1,1-1,2-0,0-2,1-3,1-3,0-4,1-3,1-3,1-1,1-3,,1-1,2003,28,54,.341,32.0,97.5,100.7,-2.60,2003,Memphis Grizzlies,0,,1-1,,,,,,
13,Miami Heat,3-1,2-2,,2-1,2-1,0-2,0-2,1-3,1-1,1-1,0-4,0-2,1-1,,1-3,1-1,0-4,2-2,0-4,0-4,2-0,0-2,1-1,0-2,0-2,4-0,0-2,,1-3,2003,25,57,.305,24.0,85.6,90.6,-5.13,2003,Miami Heat,0,0-2,0-4,,,,,,
14,Milwaukee Bucks,2-2,2-1,,2-2,4-0,2-0,1-1,3-1,2-0,1-1,1-3,1-1,0-2,3-1,,0-2,2-2,3-1,2-2,2-2,0-2,2-0,0-2,0-2,1-1,2-2,0-2,,2-1,2003,42,40,.512,8.0,99.5,99.3,-0.24,2003,Milwaukee Bucks,1,0-2,2-2,,,,,,
15,Minnesota Timberwolves,2-0,0-2,,2-0,2-0,2-2,4-0,1-1,3-1,2-2,0-2,3-1,2-2,1-1,2-0,,0-2,2-0,1-1,1-1,3-1,3-1,2-2,2-2,2-2,1-1,1-3,,2-0,2003,51,31,.622,9.0,98.1,96.0,2.46,2003,Minnesota Timberwolves,1,4-0,1-1,,,,,,
16,New Jersey Nets,3-1,3-1,,2-2,2-2,0-2,2-0,1-2,1-1,1-1,2-1,1-1,2-0,4-0,2-2,2-0,,3-1,2-2,1-3,1-1,2-0,0-2,1-1,1-1,4-0,0-2,,3-1,2003,49,33,.598,—,95.4,90.1,4.42,2003,New Jersey Nets,1,1-1,2-2,,,,,,
17,New Orleans Hornets,2-2,1-3,,3-1,3-1,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,4-0,2-2,1-1,2-2,3-1,1-3,2-1,2-0,0-2,1-1,0-2,2-0,4-0,2-0,,2-1,2003,47,35,.573,3.0,93.9,91.8,1.52,2003,New Orleans Hornets,1,1-1,,,,,,,
18,New York Knicks,3-1,0-4,,1-2,2-1,0-2,2-0,2-2,0-2,2-0,1-3,1-1,1-1,2-2,1-3,0-2,1-3,,2-2,2-2,2-0,0-2,1-1,2-0,1-1,3-1,1-1,,2-2,2003,37,45,.451,12.0,95.9,97.2,-1.61,2003,New York Knicks,0,1-1,1-3,,,,,,
19,Orlando Magic,1-2,2-3,,3-1,4-0,1-1,2-0,1-2,1-1,0-2,1-2,1-1,1-1,4-0,2-2,1-1,2-2,2-2,,2-2,0-2,0-2,1-1,0-2,2-0,2-2,1-1,,2-2,2003,42,40,.512,7.0,98.5,98.4,-0.39,2003,Orlando Magic,1,0-2,3-1,,,,,,
20,Philadelphia 76ers,1-3,2-2,,3-1,4-0,0-2,2-0,2-2,0-2,0-2,2-2,2-0,1-1,4-0,2-2,1-1,3-1,2-2,2-2,,0-2,2-0,0-2,1-1,1-1,3-0,1-1,,4-0,2003,48,34,.585,1.0,96.8,94.5,1.76,2003,Philadelphia 76ers,1,2-0,1-2,,,,,,
21,Phoenix Suns,2-0,2-0,,1-1,2-0,2-2,3-1,1-1,2-2,1-3,1-1,3-1,1-3,0-2,2-0,1-3,1-1,0-2,2-0,2-0,,3-1,2-2,3-1,1-3,1-1,1-3,,1-1,2003,44,38,.537,15.0,95.5,94.4,1.57,2003,Phoenix Suns,1,3-1,0-2,,,,,,
22,Portland Trail Blazers,2-0,1-1,,1-1,2-0,2-2,2-2,2-0,4-0,3-1,2-0,3-1,2-2,2-0,0-2,1-3,0-2,2-0,2-0,0-2,1-3,,1-3,2-2,4-0,2-0,1-3,,1-1,2003,50,32,.610,9.0,95.2,92.5,2.97,2003,Portland Trail Blazers,1,3-1,2-0,,,,,,
23,Sacramento Kings,1-1,2-0,,2-0,2-0,3-1,4-0,1-1,4-0,2-2,2-0,3-1,2-2,1-1,2-0,2-2,2-0,1-1,1-1,2-0,2-2,3-1,,1-3,3-1,1-1,3-1,,2-0,2003,59,23,.720,—,101.7,95.2,6.68,2003,Sacramento Kings,1,4-0,1-1,,,,,,
24,San Antonio Spurs,1-1,2-0,,2-0,2-0,2-2,3-1,2-0,3-1,3-1,2-0,3-1,4-0,2-0,2-0,2-2,1-1,0-2,2-0,1-1,1-3,2-2,3-1,,3-1,2-0,4-0,,1-1,2003,60,22,.732,—,95.8,90.4,5.65,2003,San Antonio Spurs,1,3-1,2-0,,,,,,
25,Seattle SuperSonics,1-1,0-2,,2-0,1-1,2-2,3-1,1-1,2-2,2-2,0-2,3-1,2-2,2-0,1-1,2-2,1-1,1-1,0-2,1-1,3-1,0-4,1-3,1-3,,2-0,2-2,,1-1,2003,40,42,.488,19.0,92.1,92.3,0.37,2003,Seattle SuperSonics,0,3-1,0-2,,,,,,
26,Toronto Raptors,3-1,2-1,,2-2,1-3,0-2,1-1,1-3,0-2,0-2,1-3,1-1,0-2,0-4,2-2,1-1,0-4,1-3,2-2,0-3,1-1,0-2,1-1,0-2,0-2,,0-2,,3-1,2003,24,58,.293,26.0,90.9,96.8,-6.10,2003,Toronto Raptors,0,1-1,0-4,,,,,,
27,Utah Jazz,1-1,1-1,,1-1,1-1,2-2,4-0,0-2,2-2,3-1,1-1,3-1,1-3,2-0,2-0,3-1,2-0,1-1,1-1,1-1,3-1,3-1,1-3,0-4,2-2,2-0,,,1-1,2003,47,35,.573,13.0,94.7,92.3,2.76,2003,Utah Jazz,1,3-1,0-2,,,,,,
28,Washington Wizards,2-2,3-1,,3-1,4-0,0-2,1-1,1-3,0-2,1-1,2-2,2-0,1-1,3-1,1-2,0-2,1-3,2-2,2-2,0-4,1-1,1-1,0-2,1-1,1-1,1-3,1-1,,,2003,37,45,.451,12.0,91.5,92.5,-1.47,2003,Washington Wizards,0,1-1,1-2,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Atlantic Division,0,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Central Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Midwest Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Pacific Division,0,,,,,,,,
0,Atlanta Hawks,,3-1,,3-1,1-3,2-0,2-0,1-3,0-2,0-2,0-4,0-2,1-1,1-3,2-2,1-1,1-3,0-3,1-3,1-2,1-1,0-2,0-2,1-1,1-1,1-3,0-2,,2-2,2004,28,54,.341,33.0,92.8,97.5,-5.00,2004,Atlanta Hawks,0,0-2,2-2,,,,,,
1,Boston Celtics,1-3,,,1-2,3-1,1-1,2-0,0-3,2-0,1-1,1-3,0-2,0-2,2-2,1-3,1-1,2-2,1-3,3-1,3-1,1-1,0-2,1-1,0-2,1-1,3-1,1-1,,3-1,2004,36,46,.439,11.0,95.3,96.7,-1.99,2004,Boston Celtics,1,1-1,0-4,,,,,,
2,Chicago Bulls,1-3,2-1,,,2-2,0-2,0-2,0-4,1-1,0-2,1-3,1-1,0-2,0-4,1-3,0-2,0-3,2-2,3-1,0-4,1-1,0-2,0-2,0-2,0-2,4-0,1-1,,1-3,2004,23,59,.280,38.0,89.7,96.0,-6.69,2004,Chicago Bulls,0,0-2,2-2,,,,,,
3,Cleveland Cavaliers,3-1,1-3,,2-2,,0-2,0-2,2-2,0-2,0-2,1-3,1-1,0-2,2-2,2-2,0-2,1-2,4-0,2-1,3-1,0-2,1-1,0-2,1-1,2-0,1-3,1-1,,2-2,2004,35,47,.427,26.0,92.9,95.5,-3.07,2004,Cleveland Cavaliers,0,0-2,3-1,,,,,,
4,Dallas Mavericks,0-2,1-1,,2-0,2-0,,2-2,1-1,3-1,3-1,0-2,2-2,2-2,1-1,1-1,2-2,2-0,2-0,2-0,1-1,3-1,3-1,3-1,3-1,3-1,1-1,2-2,,1-1,2004,52,30,.634,6.0,105.2,100.8,4.86,2004,Dallas Mavericks,1,2-2,2-0,,,,,,
5,Denver Nuggets,0-2,0-2,,2-0,2-0,2-2,,0-2,3-1,2-2,0-2,2-2,1-3,1-1,2-0,1-3,0-2,1-1,1-1,2-0,4-0,4-0,2-2,1-3,2-2,0-2,3-1,,2-0,2004,43,39,.524,15.0,97.2,96.1,1.65,2004,Denver Nuggets,1,2-2,1-1,,,,,,
6,Detroit Pistons,3-1,3-0,,4-0,2-2,1-1,2-0,,1-1,1-1,1-3,2-0,1-1,4-0,3-1,0-2,2-2,3-1,3-1,2-2,2-0,2-0,0-2,1-1,1-1,3-1,1-1,,3-0,2004,54,28,.659,7.0,90.1,84.3,5.04,2004,Detroit Pistons,1,2-0,1-3,,,,,,
7,Golden State Warriors,2-0,0-2,,1-1,2-0,1-3,1-3,1-1,,2-2,0-2,2-2,1-3,1-1,1-1,2-2,0-2,2-0,1-1,1-1,2-2,2-2,2-2,2-2,3-1,1-1,2-2,,1-1,2004,37,45,.451,19.0,93.3,94.0,-0.07,2004,Golden State Warriors,0,1-3,0-2,,,,,,
8,Houston Rockets,2-0,1-1,,2-0,2-0,1-3,2-2,1-1,2-2,,1-1,4-0,2-2,1-1,2-0,2-2,1-1,2-0,2-0,2-0,1-3,3-1,0-4,0-4,1-3,1-1,2-2,,2-0,2004,45,37,.549,13.0,89.8,88.0,2.28,2004,Houston Rockets,1,1-3,2-0,,,,,,
9,Indiana Pacers,4-0,3-1,,3-1,3-1,2-0,2-0,3-1,2-0,1-1,,2-0,1-1,3-0,1-3,1-1,3-1,3-1,3-1,4-0,2-0,1-1,0-2,1-1,2-0,4-0,2-0,,2-1,2004,61,21,.744,—,91.4,85.6,4.93,2004,Indiana Pacers,1,1-1,2-2,,,,,,
10,Los Angeles Clippers,2-0,2-0,,1-1,1-1,2-2,2-2,0-2,2-2,0-4,0-2,,1-3,0-2,2-0,0-4,0-2,1-1,2-0,1-1,3-1,2-2,0-4,1-3,0-4,1-1,1-3,,0-2,2004,28,54,.341,28.0,94.8,99.4,-3.74,2004,Los Angeles Clippers,0,0-4,1-1,,,,,,
11,Los Angeles Lakers,1-1,2-0,,2-0,2-0,2-2,3-1,1-1,3-1,2-2,1-1,3-1,,2-0,2-0,1-3,2-0,2-0,2-0,1-1,3-1,2-2,1-3,3-1,3-1,2-0,3-1,,2-0,2004,56,26,.683,—,98.2,94.3,4.35,2004,Los Angeles Lakers,1,2-2,1-1,,,,,,
12,Memphis Grizzlies,2-0,1-1,,2-0,2-0,2-2,2-2,0-2,3-1,3-1,1-1,4-0,2-2,1-1,1-1,1-3,2-0,1-1,2-0,2-0,2-2,2-2,2-2,3-1,1-3,2-0,1-3,,2-0,2004,50,32,.610,8.0,96.7,94.3,2.95,2004,Memphis Grizzlies,1,,1-1,,,,,,
13,Miami Heat,3-1,2-2,,4-0,2-2,1-1,1-1,0-4,1-1,1-1,0-3,2-0,0-2,,1-2,0-2,3-2,1-3,4-0,1-3,1-1,0-2,1-1,0-2,2-0,2-1,1-1,,4-0,2004,42,40,.512,5.0,90.3,89.7,-0.13,2004,Miami Heat,1,1-1,3-1,,,,,,
14,Milwaukee Bucks,2-2,3-1,,3-1,2-2,1-1,0-2,1-3,1-1,0-2,3-1,0-2,0-2,2-1,,0-2,3-1,2-2,3-1,2-1,1-1,1-1,1-1,1-1,0-2,3-1,1-1,,3-1,2004,41,41,.500,20.0,98.0,97.0,0.42,2004,Milwaukee Bucks,1,1-1,1-3,,,,,,
15,Minnesota Timberwolves,1-1,1-1,,2-0,2-0,2-2,3-1,2-0,2-2,2-2,1-1,4-0,3-1,2-0,2-0,,1-1,1-1,2-0,1-1,4-0,1-3,3-1,2-2,3-1,2-0,2-2,,2-0,2004,58,24,.707,—,94.5,89.1,5.86,2004,Minnesota Timberwolves,1,3-1,2-0,,,,,,
16,New Jersey Nets,3-1,2-2,,3-0,2-1,0-2,2-0,2-2,2-0,1-1,1-3,2-0,0-2,2-3,1-3,1-1,,3-1,4-0,3-1,1-1,0-2,1-1,0-2,2-0,2-2,1-1,,4-0,2004,47,35,.573,—,90.3,87.8,1.88,2004,New Jersey Nets,1,0-2,2-1,,,,,,
17,New Orleans Hornets,2-2,4-0,,2-2,1-3,0-2,1-1,3-1,2-0,0-2,2-2,1-1,1-1,1-3,3-1,0-2,1-2,1-2,4-0,2-2,1-1,2-0,0-2,1-1,0-2,1-3,1-1,,3-1,2004,41,41,.500,20.0,91.8,91.9,-0.72,2004,New Orleans Hornets,1,1-1,,,,,,,
18,New York Knicks,3-0,3-1,,2-2,0-4,0-2,1-1,1-3,0-2,0-2,1-3,1-1,0-2,3-1,2-2,1-1,1-3,,3-1,3-1,1-1,1-1,1-1,0-2,1-1,3-1,0-2,,4-0,2004,39,43,.476,8.0,92.0,93.5,-1.97,2004,New York Knicks,1,1-1,2-1,,,,,,
19,Orlando Magic,3-1,1-3,,1-3,1-2,0-2,1-1,1-3,1-1,0-2,1-3,0-2,0-2,0-4,1-3,0-2,0-4,1-3,,2-2,1-1,0-2,0-2,0-2,0-2,1-2,1-1,,4-0,2004,21,61,.256,26.0,94.0,101.1,-7.25,2004,Orlando Magic,0,0-2,0-4,,,,,,
20,Philadelphia 76ers,2-1,1-3,,4-0,1-3,1-1,0-2,2-2,1-1,0-2,0-4,1-1,1-1,3-1,1-2,1-1,1-3,1-3,2-2,,1-1,1-1,0-2,2-0,1-1,1-3,0-2,,2-2,2004,33,49,.402,14.0,88.0,90.5,-2.95,2004,Philadelphia 76ers,0,0-2,2-2,,,,,,
21,Phoenix Suns,1-1,1-1,,1-1,2-0,1-3,0-4,0-2,2-2,3-1,0-2,1-3,1-3,1-1,1-1,0-4,1-1,1-1,1-1,1-1,,2-2,1-3,0-4,2-2,0-2,1-3,,1-1,2004,29,53,.354,27.0,94.2,97.9,-2.94,2004,Phoenix Suns,0,2-2,1-1,,,,,,
22,Portland Trail Blazers,2-0,2-0,,2-0,1-1,1-3,0-4,0-2,2-2,1-3,1-1,2-2,2-2,2-0,1-1,3-1,2-0,1-1,2-0,1-1,2-2,,3-1,0-4,2-2,1-1,2-2,,1-1,2004,41,41,.500,15.0,90.7,92.0,-0.58,2004,Portland Trail Blazers,0,2-2,0-2,,,,,,
23,Sacramento Kings,2-0,1-1,,2-0,2-0,1-3,2-2,2-0,2-2,4-0,2-0,4-0,3-1,1-1,1-1,1-3,1-1,1-1,2-0,2-0,3-1,1-3,,2-2,3-1,2-0,3-1,,1-1,2004,55,27,.671,1.0,102.8,97.8,5.41,2004,Sacramento Kings,1,2-2,2-0,,,,,,
24,San Antonio Spurs,1-1,2-0,,2-0,1-1,1-3,3-1,1-1,2-2,4-0,1-1,3-1,1-3,2-0,1-1,2-2,2-0,2-0,2-0,0-2,4-0,4-0,2-2,,4-0,2-0,4-0,,2-0,2004,57,25,.695,1.0,91.5,84.3,7.51,2004,San Antonio Spurs,1,1-3,1-1,,,,,,
25,Seattle SuperSonics,1-1,1-1,,2-0,0-2,1-3,2-2,1-1,1-3,3-1,0-2,4-0,1-3,0-2,2-0,1-3,0-2,1-1,2-0,1-1,2-2,2-2,1-3,0-4,,1-1,1-3,,1-1,2004,37,45,.451,19.0,97.1,97.8,0.02,2004,Seattle SuperSonics,0,3-1,2-0,,,,,,
26,Toronto Raptors,3-1,1-3,,0-4,3-1,1-1,2-0,1-3,1-1,1-1,0-4,1-1,0-2,1-2,1-3,0-2,2-2,1-3,2-1,3-1,2-0,1-1,0-2,0-2,1-1,,1-1,,1-3,2004,33,49,.402,28.0,85.4,88.5,-3.42,2004,Toronto Raptors,0,0-2,3-1,,,,,,
27,Utah Jazz,2-0,1-1,,1-1,1-1,2-2,1-3,1-1,2-2,2-2,0-2,3-1,1-3,1-1,1-1,2-2,1-1,2-0,1-1,2-0,3-1,2-2,1-3,0-4,3-1,1-1,,,1-1,2004,42,40,.512,16.0,88.7,89.9,-0.53,2004,Utah Jazz,0,3-1,1-1,,,,,,
28,Washington Wizards,2-2,1-3,,3-1,2-2,1-1,0-2,0-3,1-1,0-2,1-2,2-0,0-2,0-4,1-3,0-2,0-4,0-4,0-4,2-2,1-1,1-1,1-1,0-2,1-1,3-1,1-1,,,2004,25,57,.305,22.0,91.8,97.4,-6.12,2004,Washington Wizards,0,0-2,1-3,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,Atlantic Division,0,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,Central Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,Midwest Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,Pacific Division,0,,,,,,,,
0,Atlanta Hawks,,1-3,,0-4,0-4,1-1,0-2,1-3,0-2,1-1,0-3,0-2,1-1,0-4,1-2,1-1,0-3,1-3,1-3,1-3,0-2,0-2,0-2,0-2,0-2,1-2,0-2,,0-4,2005,13,69,.159,46.0,92.7,102.5,-9.62,2005,Atlanta Hawks,0,0-2,1-1,1-3,,,,,
1,Boston Celtics,3-1,,,2-2,1-2,0-2,0-2,1-3,1-1,1-1,1-2,2-0,1-1,1-2,3-1,1-1,1-3,3-1,3-0,1-3,1-1,1-1,0-2,0-2,2-0,3-1,2-0,,3-1,2005,45,37,.549,—,101.3,100.4,0.35,2005,Boston Celtics,1,1-1,2-0,4-0,,,,,
