,team,year,offense_fg,offense_fga,offense_fg%,offense_3p,offense_3pa,offense_3p%,offense_2p,offense_2pa,offense_2p%,offense_ft,offense_fta,offense_ft%,offense_orb,offense_drb,offense_trb,offense_ast,offense_stl,offense_blk,offense_tov,offense_pf,offense_pts
0,sacramento_kings,2000,0.766870098957815,0.8303374360758206,0.4541543015368915,0.6599375748955958,0.7634582537480483,0.22358093481084984,0.6609283329623487,0.5720541069805678,0.6359189465054484,0.40650311360664915,0.4756714855433183,0.5581433715923748,0.5296629380375855,0.6662724702700402,0.7157030543898095,0.5407610147958606,0.6760293146989679,0.4025628842632347,0.6308831924000778,0.24464661414188238,0.7937520724265099
1,detroit_pistons,2000,0.5112467326385435,0.3928562716085632,0.5634070375456481,0.4886248976060922,0.4828248078576603,0.4847726814402195,0.5073212203472481,0.45570502268499535,0.5665459705230358,0.9711995185209303,0.9118352606817033,0.7146474721039466,0.3154077000068781,0.38781777940914774,0.3275296324024498,0.29267949444290403,0.4322352995967293,0.21917658741266177,0.5723036061905142,0.5772593412200269,0.7348100868502839
2,dallas_mavericks,2000,0.6787241105718593,0.6662819994005991,0.4905718802064766,0.6287898153884133,0.551659426660963,0.7106682460926477,0.5841247766547986,0.6194555857676526,0.41623785589447443,0.2705576827939517,0.2430508054695128,0.8479657799471385,0.34061419859872616,0.3612982850414438,0.3275296324024498,0.40018148659585195,0.28595889053538626,0.473096075359609,0.3379852613522596,0.29356025047690365,0.6522913070435677
3,indiana_pacers,2000,0.5200613314771392,0.39832478616440353,0.5634070375456481,0.7533808534171431,0.6522638695273286,0.7177274824880361,0.33451321865525974,0.3178098116680206,0.5318594825318288,0.5529058852510923,0.4684020892910118,0.8885409171168048,0.2019784563435627,0.6397529759023358,0.4194654428731402,0.4415284066546781,0.22094715317478922,0.473096075359609,0.3848489303199105,0.3131257050109121,0.6483618413384857
4,milwaukee_bucks,2000,0.6522803140560729,0.5241006209487399,0.6362421948848204,0.3951816190845447,0.38222036499129475,0.5553650453941034,0.7089305556545675,0.6366924871447747,0.589670295850506,0.4587898177653789,0.4465939005340925,0.7436297129394229,0.46664669155796573,0.24196056038677538,0.3377447224547482,0.4415284066546781,0.4484882339368785,0.4025628842632347,0.49029218549712517,0.5870420684870312,0.6444323756334042
5,los_angeles_lakers,2000,0.61702191870169,0.5295691355045811,0.5634070375456481,0.30173834056299736,0.3716304236369405,0.27299558957856807,0.7281314447314555,0.6539293885218962,0.5781081331867712,0.5738205669145846,0.7882555243924939,0.221949377900849,0.6178856831090531,0.838649183660116,0.9200048554357886,0.5076834787487996,0.3347176935558339,0.670589010429457,0.36141709583608517,0.3816047958799418,0.628714512813077
6,orlando_magic,2000,0.6434657152174772,0.6444079411772359,0.47843268731661537,0.2082950620414499,0.25514106873904346,0.33652871713706356,0.8241358901158934,0.8392260783259563,0.41623785589447443,0.4797044994288707,0.5847124293279146,0.44801085641756466,0.668298680292749,0.5204152512476679,0.7054879643375105,0.29267949444290403,0.5947646429982216,0.5577359046752581,0.7949060337868564,0.5283457048850057,0.6012082528775048
7,houston_rockets,2000,0.4671737384455656,0.41473032983192554,0.4541543015368915,0.7533808534171431,0.7422783710393399,0.47771344504483115,0.2865109959630408,0.26178988219237476,0.5549838078592997,0.4797044994288707,0.5919818255802207,0.43641796008337413,0.4540434422620418,0.5867139871669279,0.5931219737622219,0.35883456653702583,0.3347176935558339,0.5013093517981587,0.7714741993030306,0.1663847960058482,0.5776314586470146
8,boston_celtics,2000,0.5200613314771392,0.5569117082837847,0.38131914419771995,0.4419032583453184,0.509299661243546,0.2871140623693453,0.5457229985010235,0.5634356562920068,0.42780001855820987,0.5424485444193466,0.6137900143371401,0.5059753380885174,0.6052824338131292,0.3215190434898877,0.5114012533438306,0.3257570304899648,0.6922822490391171,0.24738986385121145,0.5371558544647762,0.8316102501621376,0.569772527236851
9,seattle_supersonics,2000,0.5817635233473079,0.6006598247305103,0.41773672286730573,0.6910853344027783,0.7316884296849857,0.3435879535324519,0.4497185531165852,0.416921994586471,0.5549838078592997,0.20781363780347623,0.42478571177717317,0.21615292973375372,0.5044564394457375,0.42759702096070384,0.5114012533438306,0.4663365586899735,0.4159823652565801,0.3461363313861354,0.37313301307799784,0.30334297774390767,0.5619135958266874
10,denver_nuggets,2000,0.5288759303157342,0.5787857665071471,0.3570407584179961,0.535346536866866,0.5940191920783802,0.3224102443462872,0.47851988673191664,0.5074157268163609,0.42780001855820987,0.427417795270141,0.5629042405709952,0.3842499265795173,0.5548694366294333,0.5999737343507802,0.6850577842329131,0.4994140947370345,0.22094715317478922,0.8116553926222054,0.5605876889486016,0.5185629776180012,0.557984130121606
11,phoenix_suns,2000,0.564134325670117,0.48582101905785474,0.539128651765925,0.5197726571132746,0.49870971988919166,0.548305808998715,0.5361225539625796,0.516034177504922,0.520297319868094,0.34375906861617334,0.40297752302025414,0.5871256124278512,0.4792499408538896,0.5469347456153718,0.5829068837099235,0.6896099270076346,0.5947646429982216,0.5013093517981587,0.6894627786096416,0.53812843215201,0.5540546644165245
12,minnesota_timberwolves,2000,0.7051679070876458,0.5787857665071471,0.6605205806645442,0.1148517835199025,0.15453662587267786,0.393002608300171,0.9393412245772185,0.8650814303916388,0.5665459705230358,0.22872831946696803,0.25758959797412584,0.708851023936852,0.46664669155796573,0.40107752659299994,0.46032580308233584,0.7971119191605822,0.3509706278959831,0.5154159900174337,0.36141709583608517,0.4598666140159759,0.5383368015961973
